,Fecha,Estacion_de_Servicio,Producto,Vehiculo,Equipo/Placa,Cantidad_Galones,Costo_Total_ACPM,Actividad_Equipo
0,2023-01-12,EDS TORRASA,CORRIENTE,NISSAN,DMM 139,13.635,117247.365,MINERIA
1,2023-01-12,EDS TORRASA,ACPM,VOLQUETA,JSL 245,41.275,294249.475,MINERIA
2,2023-01-12,EDS TORRASA,ACPM,VOLQUETA,UFZ 553,92.002,655882.2579999999,MINERIA
3,2023-01-13,EDS TORRASA,ACPM,VOLQUETA,XMD 367,85.502,609543.7579999999,MINERIA
4,2023-01-13,EDS TORRASA,ACPM,VOLQUETA,XVV 775,81.486,580913.694,MINERIA
5,2023-01-13,EDS TORRASA,ACPM,VOLQUETA,XMD 331,60.205,429201.445,MINERIA
6,2023-01-13,EDS TORRASA,ACPM,MAQUINARIA,MAQUINARIA,177.0,1261833.0,MINERIA
7,2023-01-13,EDS TORRASA,ACPM,MAQUINARIA,MAQUINARIA,59.0,420611.0,MINERIA
8,2023-01-14,EDS TORRASA,ACPM,VOLQUETA,JSL 245,56.1,399936.9,MINERIA
9,2023-01-15,EDS TORRASA,ACPM,MAQUINARIA,MAQUINARIA,177.0,1261833.0,MINERIA
10,2023-01-15,EDS TORRASA,ACPM,MAQUINARIA,MAQUINARIA,177.0,1261833.0,MINERIA
11,2023-01-15,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,56.847,405262.26300000004,MINERIA
12,2023-01-15,EDS TORRASA,ACPM,VOLQUETA,XVV 775,77.531,739568.209,MINERIA
13,2023-01-15,EDS TORRASA,ACPM,VOLQUETA,JSL 245,43.685,416711.215,MINERIA
14,2023-01-15,EDS TORRASA,ACPM,VOLQUETA,UFZ 553,98.769,942157.491,MINERIA
15,2023-01-16,EDS TORRASA,ACPM,VOLQUETA,XMD 367,49.273,470015.14700000006,MINERIA
16,2023-01-15,EDS TORRASA,ACPM,VOLQUETA,XMD 331,85.062,811406.418,MINERIA
17,2023-01-16,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,58.768,560587.952,MINERIA
18,2023-01-16,EDS TORRASA,CORRIENTE,NISSAN,DMM 139,13.016,138737.544,MINERIA
19,2023-01-18,EDS TORRASA,ACPM,VOLQUETA,JSL 245,55.776,532047.2640000001,MINERIA
20,2023-01-18,EDS TORRASA,ACPM,VOLQUETA,XMD 331,83.866,800000.0,MINERIA
21,2023-01-18,EDS TORRASA,ACPM,VOLQUETA,XVV 775,77.28,737173.92,MINERIA
22,2023-01-18,EDS TORRASA,ACPM,VOLQUETA,XMD 367,76.528,730000.5920000001,MINERIA
23,2023-01-18,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,66.822,637415.0580000001,MINERIA
24,2023-01-18,EDS TORRASA,ACPM,VOLQUETA,UFZ 553,106.006,1011191.234,MINERIA
25,2023-01-19,EDS TORRASA,ACPM,VOLQUETA,JSL 245,53.634,511614.726,MINERIA
26,2023-01-20,EDS TORRASA,ACPM,VOLQUETA,XVV 775,73.251,698741.289,MINERIA
27,2023-01-20,EDS TORRASA,ACPM,VOLQUETA,XMD 367,66.639,635669.421,MINERIA
28,2023-01-21,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,70.969,676973.291,MINERIA
29,2023-01-20,EDS TORRASA,CORRIENTE,NISSAN,DMM 139,14.756,157284.204,MINERIA
30,2023-01-21,EDS TORRASA,ACPM,VOLQUETA,JSL 245,55.77,531990.03,MINERIA
31,2023-01-21,EDS TORRASA,ACPM,VOLQUETA,XMD 331,87.011,830000.0,MINERIA
32,2023-01-21,EDS TORRASA,ACPM,MAQUINARIA,MAQUINARIA,177.0,1688403.0,MINERIA
33,2023-01-22,EDS TORRASA,ACPM,MAQUINARIA,MAQUINARIA,170.078,1622374.0420000001,MINERIA
34,2023-01-23,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,80.923,771924.497,MINERIA
35,2023-01-24,EDS TORRASA,ACPM,VOLQUETA,JSL 245,53.847,513646.533,MINERIA
36,2023-01-25,EDS TORRASA,ACPM,VOLQUETA,UFZ 553,92.109,878627.7509999999,MINERIA
37,2023-01-25,EDS TORRASA,ACPM,VOLQUETA,XMD 367,84.605,807047.0950000001,MINERIA
38,2023-01-25,EDS TORRASA,ACPM,VOLQUETA,JSL 245,52.651,502237.889,MINERIA
39,2023-01-28,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,49.919,476177.34099999996,MINERIA
40,2023-01-24,EDS TORRASA,ACPM,VOLQUETA,XMD 331,72.338,690032.1819999999,MINERIA
41,2023-01-26,EDS TORRASA,ACPM,VOLQUETA,XMD 367,59.001,562810.539,MINERIA
42,2023-01-26,EDS TORRASA,ACPM,VOLQUETA,XMD 331,62.573,596883.847,MINERIA
43,2023-01-27,EDS TORRASA,ACPM,VOLQUETA,JSL 245,59.548,568028.372,MINERIA
44,2023-01-27,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,48.177,459560.403,MINERIA
45,2023-01-27,EDS TORRASA,ACPM,VOLQUETA,JSL 245,53.35,508905.65,MINERIA
46,2023-01-28,EDS TORRASA,ACPM,VOLQUETA,XMD 367,59.007,562867.7729999999,MINERIA
47,2023-01-29,EDS TORRASA,ACPM,VOLQUETA,JSL 245,57.397,547509.983,MINERIA
48,2023-01-29,EDS TORRASA,ACPM,VOLQUETA,XMD 367,58.603,559014.017,MINERIA
49,2023-01-29,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,57.07,544390.73,MINERIA
50,2023-01-29,EDS TORRASA,ACPM,VOLQUETA,XMD 331,74.448,710159.472,MINERIA
51,2023-01-30,EDS TORRASA,ACPM,VOLQUETA,JSL 245,64.0,610496.0,MINERIA
52,2023-01-30,EDS TORRASA,ACPM,VOLQUETA,XMD 367,70.0,667730.0,MINERIA
53,2023-01-30,EDS TORRASA,ACPM,VOLQUETA,UFZ 553,77.481,739091.259,MINERIA
54,2023-01-30,EDS TORRASA,ACPM,VOLQUETA,XMD 331,60.472,576842.408,MINERIA
55,2023-01-31,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,80.121,764274.2189999999,MINERIA
